products-link-href,products-name,products-price,products-rating
https://www.banglashoppers.com/emami-7-oils-in-one-pumpkin-plus-100ml.html,Emami 7 Oils in One Pumpkin plus - 100ml,90.0,0
https://www.banglashoppers.com/kodomo-professional-children-milk-teeth-toothbrush-age-3-6-yrs-blue.html,Kodomo Professional Children Milk Teeth Toothbrush Age 3-6 Yrs - Blue,164.0,0
https://www.banglashoppers.com/gucci-memoire-eau-de-parfum-for-women-100mi.html,Gucci - Memoire Eau De Parfum For Women - 100mi,10485.0,0
https://www.banglashoppers.com/dove-go-fresh-pomegranate-roll-on-anti-perspirant-deodorant-50ml.html,Dove - Go Fresh Pomegranate Roll-On Anti-Perspirant Deodorant - 50ml,400.0,0
https://www.banglashoppers.com/kodomo-grape-flavor-children-s-toothpaste-40g.html,Kodomo Grape Flavor Children's Toothpaste - 40g,112.0,0
https://www.banglashoppers.com/johnson-s-baby-cotton-touch-wipes-56-pieces.html,Johnson's Baby Cotton Touch Wipes 56 Pieces,450.0,0
https://www.banglashoppers.com/aveeno-skin-relief-dry-skin-body-wash-chamomile-532ml.html,Aveeno Skin Relief Dry Skin Body Wash - Chamomile - 532ml,1899.0,0
https://www.banglashoppers.com/everyday-lipstick-combo-01.html,Everyday Lipstick - Combo 01,999.0,0
https://www.banglashoppers.com/ogx-renewing-argan-oil-of-morocco-extra-pnetrating-oil-100ml.html,Ogx - Renewing Argan Oil Of Morocco Extra Pnetrating Oil - 100ml,1250.0,0
https://www.banglashoppers.com/emami-kesh-king-plus-herbal-hair-oil-100ml.html,Emami - Kesh King Plus Herbal Hair Oil - 100ml,175.0,0
https://www.banglashoppers.com/lifebuoy-100-stronger-germ-protectiontotal-10-soap-100g.html,Lifebuoy - 100% Stronger Germ ProtectionTotal 10 Soap - 100g,32.0,0
https://www.banglashoppers.com/nivea-soft-light-moisturiser-cream-100ml.html,Nivea Soft Light Moisturiser Cream - 100ml,300.0,0
https://www.banglashoppers.com/pantene-pro-v-advanced-hairfall-solution-hairfall-control-shampoo-180ml.html,Pantene - Pro-V Advanced Hairfall Solution Hairfall Control Shampoo - 180ml,210.0,0
https://www.banglashoppers.com/argan-oil-night-repair-serum-50ml-combo-2.html,Argan Oil Night Repair Serum 50ml Combo 2,399.0,0
https://www.banglashoppers.com/technic-pro-pigment-loose-eye-shadow-powder-fairy-dust.html,Technic Pro Pigment Loose Eye Shadow Powder - Fairy Dust,350.0,0
https://www.banglashoppers.com/kodomo-head-to-toe-wash-new-born-400ml.html,Kodomo - Head To Toe Wash - New Born - 400ml,699.0,0
https://www.banglashoppers.com/clear-shampoo-anti-hairfall-anti-dandruff-180ml.html,Clear Shampoo Anti Hairfall Anti Dandruff 180ml,200.0,0
https://www.banglashoppers.com/w7-gotta-glow-translucent-luminous-setting-powder-15g.html,W7 Gotta Glow Translucent Luminous Setting Powder - 15g,675.0,0
https://www.banglashoppers.com/parachute-skin-pure-natural-white-skin-lotion-200ml.html,Parachute Skin Pure Natural White Skin Lotion 200ml,190.0,0
https://www.banglashoppers.com/harpic-toilet-cleaning-liquid-fresh-citrus-500ml.html,Harpic Toilet Cleaning Liquid Fresh Citrus 500ml,105.0,0
https://www.banglashoppers.com/neutrogena-oil-free-acne-salicylic-acid-face-scrub-124ml-1.html,Neutrogena Oil-Free Pink Grapefruit Pore Cleansing Salicylic Acid Acne Wash - 177ml,1399.0,0
https://www.banglashoppers.com/ossum-mini-perfume-body-spray-appeal-for-women-25ml.html,Ossum Mini Perfume Body Spray Appeal For Women - 25ml,108.0,0
https://www.banglashoppers.com/aveeno-baby-calming-comfort-lavender-vanilla-lotion-227gm.html,Aveeno Baby Calming Comfort Lavender & Vanilla Lotion - 227gm,1250.0,0
https://www.banglashoppers.com/nivea-men-protect-care-shaving-foam-with-aloe-vera-200ml.html,Nivea Men Protect & Care Shaving Foam With Aloe Vera - 200ml,325.0,0
https://www.banglashoppers.com/sunsilk-shampoo-hair-fall-solution-180ml.html,Sunsilk Shampoo Hair Fall Solution 180ml,185.0,0
https://www.banglashoppers.com/kodomo-professional-children-permanent-teeth-toothbrush-age-6-yrs-yellow.html,Kodomo Professional Children Permanent Teeth Toothbrush Age 6 Yrs - Yellow,164.0,0
https://www.banglashoppers.com/w7-metal-flash-metallic-glitter-eyeliner-glam-bam.html,W7 Metal Flash Metallic Glitter Eyeliner - Glam Bam,350.0,0
https://www.banglashoppers.com/lifebuoy-100-stronger-germ-protection-lemon-fresh-soap-100g.html,Lifebuoy - 100% Stronger Germ Protection Lemon Fresh Soap - 100g,32.0,0
https://www.banglashoppers.com/neutrogena-hydro-boost-gentle-exfoliating-with-hyaluronic-acid-facial-cleanser.html,Neutrogena Hydro Boost Gentle Exfoliating with Hyaluronic Acid Facial Cleanser,1299.0,0
https://www.banglashoppers.com/parachute-advansed-beliphool-coconut-hair-oil-300ml.html,Parachute Advansed Beliphool & Coconut Hair Oil 300ml,200.0,0
https://www.banglashoppers.com/technic-false-nails-with-glue-squareletto-matte-nude-24-pcs.html,Technic False Nails With Glue - Squareletto Matte Nude - 24 Pcs,364.5,0
https://www.banglashoppers.com/kodomo-sofr-slim-griffy-baby-toothbrush-age-9-12-yrs-yellow.html,Kodomo Sofr & Slim Griffy Baby Toothbrush Age 9-12 Yrs - Yellow,123.0,0
https://www.banglashoppers.com/simple-moisturising-facial-wash-150ml.html,Simple Moisturising Facial Wash 150ml,595.0,0
https://www.banglashoppers.com/lizol-floor-cleaner-floral-disinfectant-surface-cleaner-5-litre.html,Lizol Floor Cleaner Floral Disinfectant Surface Cleaner 5 litre,1150.0,0
https://www.banglashoppers.com/lux-soft-glowing-skin-rose-vitamin-e-soap-100g.html,Lux - Soft Glowing Skin Rose & Vitamin E Soap - 100g,35.0,0
https://www.banglashoppers.com/oil-free-skin-combo-001.html,Oil Free Skin Combo 001,3199.0,0
https://www.banglashoppers.com/harpic-toilet-cleaning-liquid-original-750ml.html,Harpic Toilet Cleaning Liquid Original 750ml,130.0,0
https://www.banglashoppers.com/nivea-combo-23-light-moisturizer-lip-balm-soft-cream-original-care-50-5-5-ml.html,Nivea Combo 23 - Light Moisturizer & Lip Balm (Soft Cream + Original Care) 50+5.5 ml,349.0,0
